__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/data[3],/distances/data[4],/distances/data[5],/distances/layout/data_offset,AvgBoidDistance
1714651805.773996,0.858383642,0.613072881,0.555107900,0.572172248,0.559889091,0.759947657,0.000000000,0.675521474
1714651805.874145,0.857699373,0.612373577,0.556065020,0.571754074,0.560637631,0.761248359,0.000000000,0.675379323
1714651805.975529,0.857069486,0.611773296,0.556965877,0.571403853,0.561312987,0.762500513,0.000000000,0.675269553
1714651806.074120,0.856462074,0.611165463,0.557901897,0.571055250,0.562078635,0.763810131,0.000000000,0.675176478
1714651806.174067,0.855878828,0.610577941,0.558830548,0.570738690,0.562857797,0.765123766,0.000000000,0.675095773
1714651806.274193,0.855339950,0.610010684,0.559754105,0.570451334,0.563693501,0.766450299,0.000000000,0.675034913
1714651806.374233,0.854800877,0.609482305,0.560636953,0.570208693,0.564442553,0.767738230,0.000000000,0.674973378
1714651806.474397,0.854299818,0.608943272,0.561554436,0.569953090,0.565326563,0.769093398,0.000000000,0.674932509
1714651806.573965,0.853798689,0.608438965,0.562426481,0.569728852,0.566116752,0.770392223,0.000000000,0.674888045
1714651806.674298,0.853334680,0.607947031,0.563345986,0.569515143,0.567023437,0.771785864,0.000000000,0.674875899
1714651806.774453,0.852867855,0.607446560,0.564231290,0.569318221,0.567899441,0.773137182,0.000000000,0.674848568
1714651806.875179,0.852416759,0.606959766,0.565109609,0.569144254,0.568789735,0.774498313,0.000000000,0.674828711
1714651806.974813,0.851979342,0.606487691,0.565985619,0.568980206,0.569699832,0.775868565,0.000000000,0.674817551
1714651807.075415,0.851554362,0.606029893,0.566856552,0.568818082,0.570624346,0.777236732,0.000000000,0.674813603
1714651807.174005,0.851141020,0.605550826,0.567715900,0.568647243,0.571551695,0.778552214,0.000000000,0.674802582
1714651807.274333,0.850721587,0.605134300,0.568537475,0.568522035,0.572444034,0.779899610,0.000000000,0.674797787
1714651807.375112,0.850311463,0.604662860,0.569467277,0.568387539,0.573486434,0.781360392,0.000000000,0.674813867
1714651807.474082,0.849908342,0.604269428,0.570272905,0.568293839,0.574399159,0.782713182,0.000000000,0.674816892
1714651807.574053,0.849538690,0.603870887,0.571097125,0.568174240,0.575386777,0.784060511,0.000000000,0.674835567
1714651807.674333,0.849160400,0.603482433,0.571909932,0.568063710,0.576339989,0.785390602,0.000000000,0.674850922
1714651807.774095,0.848800663,0.603117957,0.572674491,0.567965221,0.577242847,0.786648062,0.000000000,0.674864370
1714651807.874780,0.848431180,0.602727693,0.573484841,0.567877258,0.578177239,0.787951058,0.000000000,0.674881238
1714651807.974105,0.848057971,0.602391578,0.574199482,0.567818654,0.579044406,0.789198642,0.000000000,0.674883010
1714651808.074449,0.847682821,0.602030336,0.574960052,0.567744838,0.579988411,0.790495297,0.000000000,0.674891070
1714651808.174070,0.847288338,0.601627888,0.575793377,0.567640076,0.581037690,0.791878618,0.000000000,0.674903201
1714651808.275980,0.846889328,0.601256594,0.576548986,0.567541271,0.581996341,0.793177348,0.000000000,0.674898303
1714651808.373973,0.846485280,0.600916643,0.577228704,0.567463084,0.582863506,0.794400616,0.000000000,0.674876876
1714651808.474512,0.846091314,0.600562529,0.577919277,0.567380529,0.583750160,0.795612291,0.000000000,0.674857707
1714651808.575633,0.845706482,0.600223445,0.578621984,0.567302132,0.584664279,0.796852661,0.000000000,0.674850637
1714651808.674186,0.845305132,0.599872142,0.579219569,0.567195296,0.585503953,0.797946370,0.000000000,0.674798947
1714651808.774890,0.844893460,0.599537717,0.579832925,0.567107116,0.586294762,0.799048282,0.000000000,0.674754700
1714651808.874101,0.844472957,0.599188751,0.580456975,0.566979275,0.587155562,0.800165785,0.000000000,0.674706228
1714651808.974920,0.844032678,0.598838426,0.581063702,0.566869233,0.587962385,0.801260826,0.000000000,0.674644936
1714651809.075576,0.843572374,0.598486367,0.581652200,0.566777768,0.588727127,0.802341199,0.000000000,0.674570314
1714651809.173964,0.843108210,0.598132478,0.582221309,0.566662933,0.589514738,0.803401508,0.000000000,0.674487332
1714651809.275833,0.842651034,0.597791152,0.582748413,0.566535775,0.590251728,0.804386768,0.000000000,0.674396866
1714651809.374101,0.842161171,0.597433223,0.583279918,0.566389108,0.590990242,0.805375832,0.000000000,0.674291437
1714651809.474033,0.841658286,0.597072073,0.583793091,0.566240135,0.591697338,0.806331566,0.000000000,0.674174483
1714651809.574834,0.841141599,0.596704950,0.584284987,0.566094680,0.592382848,0.807266070,0.000000000,0.674043845
1714651809.675627,0.840588008,0.596317312,0.584775525,0.565939111,0.593082338,0.808220288,0.000000000,0.673893615
1714651809.774032,0.840041579,0.595943511,0.585227386,0.565774310,0.593737377,0.809108252,0.000000000,0.673737492
1714651809.874499,0.839491486,0.595568677,0.585661933,0.565572698,0.594398323,0.809956585,0.000000000,0.673574032
1714651809.974327,0.838918652,0.595192312,0.586079347,0.565374478,0.594989051,0.810763869,0.000000000,0.673396771
1714651810.075555,0.838322101,0.594815313,0.586480641,0.565193068,0.595509873,0.811540170,0.000000000,0.673206018
1714651810.175180,0.837724190,0.594437915,0.586920014,0.564997929,0.596102817,0.812373933,0.000000000,0.673027373
1714651810.274276,0.837087940,0.594011189,0.587299433,0.564761858,0.596645428,0.813093416,0.000000000,0.672799520
1714651810.375495,0.836438549,0.593647787,0.587602327,0.564563959,0.597107573,0.813795621,0.000000000,0.672562887
1714651810.474329,0.835777054,0.593253026,0.587940992,0.564322897,0.597593945,0.814483419,0.000000000,0.672323691
1714651810.574575,0.835104518,0.592860428,0.588262328,0.564077415,0.598040115,0.815131852,0.000000000,0.672075758
1714651810.674698,0.834435944,0.592471152,0.588566146,0.563815806,0.598496473,0.815755312,0.000000000,0.671824414
1714651810.775657,0.833784772,0.592114990,0.588827637,0.563617824,0.598818513,0.816313180,0.000000000,0.671575800
1714651810.874210,0.833139678,0.591758233,0.589069757,0.563390855,0.599170371,0.816849820,0.000000000,0.671322556
1714651810.974234,0.832487517,0.591400809,0.589349159,0.563148083,0.599560286,0.817431558,0.000000000,0.671079162
1714651811.074251,0.831799983,0.591029100,0.589565281,0.562882023,0.599873347,0.817921227,0.000000000,0.670798121
1714651811.174082,0.831134111,0.590676307,0.589701866,0.562626696,0.600083405,0.818286606,0.000000000,0.670504095
1714651811.275114,0.830462447,0.590286659,0.589937274,0.562342335,0.600390767,0.818732481,0.000000000,0.670228793
1714651811.375641,0.829758265,0.589968644,0.590051652,0.562119050,0.600577889,0.819147081,0.000000000,0.669926187
1714651811.474860,0.829082916,0.589589316,0.590259850,0.561826403,0.600864155,0.819557023,0.000000000,0.669644027
1714651811.574158,0.828377853,0.589244911,0.590406683,0.561544744,0.601078654,0.819933917,0.000000000,0.669343149
1714651811.675209,0.827612246,0.588925392,0.590496658,0.561271557,0.601216464,0.820294669,0.000000000,0.669011432
1714651811.774048,0.826903828,0.588554770,0.590679819,0.560954132,0.601434419,0.820637443,0.000000000,0.668712806
1714651811.876083,0.826196305,0.588238446,0.590795866,0.560684466,0.601579927,0.820958135,0.000000000,0.668410206
1714651811.975900,0.825492603,0.587977227,0.590844277,0.560453915,0.601657447,0.821252260,0.000000000,0.668104702
1714651812.075686,0.824793961,0.587678287,0.590942580,0.560176377,0.601784358,0.821534662,0.000000000,0.667804942
1714651812.174098,0.824120086,0.587388474,0.591035229,0.559865700,0.601946860,0.821790164,0.000000000,0.667514596
1714651812.274445,0.823439451,0.587120936,0.591178082,0.559631782,0.602030194,0.822098136,0.000000000,0.667246156
