__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/data[3],/distances/data[4],/distances/data[5],/distances/data[6],/distances/data[7],/distances/data[8],/distances/data[9],/distances/layout/data_offset,AvgBoidDistance
1714660003.721061,0.697275053,0.679519039,0.969694272,0.718702113,0.899951693,0.663502698,0.814741979,0.675288309,0.821575185,0.718732721,0.000000000,0.782162788
1714660003.820198,0.697179614,0.679432746,0.969734354,0.718697839,0.899896921,0.663727740,0.814672112,0.675329987,0.821716757,0.718693408,0.000000000,0.782115571
1714660003.920307,0.697049712,0.679365490,0.969743652,0.718653837,0.899816576,0.663961648,0.814600811,0.675301948,0.821823748,0.718653331,0.000000000,0.782052952
1714660004.020405,0.696940882,0.679290689,0.969825128,0.718699231,0.899737819,0.664210614,0.814547518,0.675356358,0.821980075,0.718620893,0.000000000,0.782018900
1714660004.120199,0.696829349,0.679212894,0.969845131,0.718651476,0.899660998,0.664431635,0.814462310,0.675352883,0.822105191,0.718593927,0.000000000,0.781962458
1714660004.221932,0.696714036,0.679131995,0.969895227,0.718679594,0.899582100,0.664680203,0.814415230,0.675378899,0.822267008,0.718563401,0.000000000,0.781913752
1714660004.320676,0.696637634,0.679075172,0.969968158,0.718652886,0.899518622,0.664908176,0.814329667,0.675394080,0.822375779,0.718549275,0.000000000,0.781893655
1714660004.420332,0.696540933,0.678999201,0.969996111,0.718606190,0.899468097,0.665124727,0.814259006,0.675430480,0.822508158,0.718522745,0.000000000,0.781845415
1714660004.521437,0.696424214,0.678945528,0.969992874,0.718520119,0.899398848,0.665339569,0.814180148,0.675386702,0.822592878,0.718493525,0.000000000,0.781787538
1714660004.620205,0.696324969,0.678884691,0.970022301,0.718460289,0.899328953,0.665556347,0.814084518,0.675377658,0.822701651,0.718464981,0.000000000,0.781743987
1714660004.721472,0.696253324,0.678821773,0.970078355,0.718443004,0.899261852,0.665752164,0.813993420,0.675392317,0.822820348,0.718445005,0.000000000,0.781717817
1714660004.820182,0.696170277,0.678776951,0.970111636,0.718395760,0.899183016,0.665949350,0.813902522,0.675339055,0.822896174,0.718428792,0.000000000,0.781686288
1714660004.922318,0.696093804,0.678705953,0.970145514,0.718347284,0.899124492,0.666140010,0.813821403,0.675360920,0.823013857,0.718412534,0.000000000,0.781648424
1714660005.022444,0.695999135,0.678659750,0.970153775,0.718272964,0.899056303,0.666338925,0.813747951,0.675314941,0.823096192,0.718393214,0.000000000,0.781604220
1714660005.120232,0.695922273,0.678613815,0.970206649,0.718244130,0.898993870,0.666553503,0.813670431,0.675321096,0.823222514,0.718367736,0.000000000,0.781580912
1714660005.220135,0.695840841,0.678571015,0.970314554,0.718301837,0.898925948,0.666787351,0.813644434,0.675395329,0.823383137,0.718346506,0.000000000,0.781575470
1714660005.321924,0.695790976,0.678528506,0.970311034,0.718249010,0.898864783,0.666913973,0.813537663,0.675345609,0.823490801,0.718321049,0.000000000,0.781543505
1714660005.420171,0.695685897,0.678475870,0.970376292,0.718191590,0.898776784,0.667148140,0.813461446,0.675372095,0.823619015,0.718312688,0.000000000,0.781512686
1714660005.520102,0.695609364,0.678426038,0.970439851,0.718180478,0.898700009,0.667350620,0.813399969,0.675396300,0.823760183,0.718301123,0.000000000,0.781491751
1714660005.621048,0.695537428,0.678380391,0.970506976,0.718167534,0.898628928,0.667559486,0.813339729,0.675425654,0.823908648,0.718286615,0.000000000,0.781474931
1714660005.722817,0.695470140,0.678345610,0.970552605,0.718135871,0.898564388,0.667743474,0.813281250,0.675432166,0.824032815,0.718269652,0.000000000,0.781456119
1714660005.821239,0.695425411,0.678314851,0.970619230,0.718140312,0.898499163,0.667909354,0.813216638,0.675447809,0.824165808,0.718252664,0.000000000,0.781453164
1714660005.920291,0.695357938,0.678301247,0.970645037,0.718082227,0.898425540,0.668066598,0.813141857,0.675398078,0.824247878,0.718237931,0.000000000,0.781434741
1714660006.022840,0.695291137,0.678244167,0.970663999,0.718016517,0.898341315,0.668215513,0.813058764,0.675386755,0.824357830,0.718229425,0.000000000,0.781399768
1714660006.120511,0.695224576,0.678220573,0.970681783,0.717942290,0.898252868,0.668368777,0.812967771,0.675310000,0.824429195,0.718224607,0.000000000,0.781375644
1714660006.221683,0.695163430,0.678160909,0.970695639,0.717818413,0.898168035,0.668514148,0.812856279,0.675289377,0.824512723,0.718225363,0.000000000,0.781339993
1714660006.320115,0.695109034,0.678150845,0.970711205,0.717783367,0.898091135,0.668659593,0.812797564,0.675206572,0.824588203,0.718207720,0.000000000,0.781323695
1714660006.420365,0.695054714,0.678127453,0.970728329,0.717704603,0.898016116,0.668800742,0.812716172,0.675164784,0.824675317,0.718192244,0.000000000,0.781303499
1714660006.521403,0.695005445,0.678086307,0.970745477,0.717636944,0.897937703,0.668921840,0.812641131,0.675152079,0.824772077,0.718178805,0.000000000,0.781279076
1714660006.620247,0.694950686,0.678082844,0.970770288,0.717572919,0.897853398,0.669052746,0.812557117,0.675089074,0.824853074,0.718168861,0.000000000,0.781267939
1714660006.720538,0.694878482,0.678027094,0.970768594,0.717469852,0.897755949,0.669188895,0.812475025,0.675063557,0.824959668,0.718163605,0.000000000,0.781224723
1714660006.820274,0.694826612,0.677992228,0.970806443,0.717423508,0.897657749,0.669326056,0.812398748,0.675038347,0.825070391,0.718159772,0.000000000,0.781208428
1714660006.920220,0.694789520,0.677986269,0.970883188,0.717427924,0.897567354,0.669467095,0.812334177,0.675030850,0.825194788,0.718151708,0.000000000,0.781219659
1714660007.020190,0.694741091,0.677940889,0.970930951,0.717396400,0.897472290,0.669607169,0.812278170,0.675057935,0.825339433,0.718137250,0.000000000,0.781204310
