__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/data[3],/distances/data[4],/distances/data[5],/distances/data[6],/distances/data[7],/distances/data[8],/distances/data[9],/distances/layout/data_offset,AvgBoidDistance
1714661040.356673,0.620949605,0.588050763,0.482518820,0.917637888,0.617645193,1.084165705,1.078141319,0.965805320,0.486182389,1.112117819,0.000000000,0.563839729
1714661040.456241,0.621783961,0.587495237,0.482983071,0.916880991,0.618066642,1.085189817,1.079681446,0.965009066,0.487712824,1.109077227,0.000000000,0.564087423
1714661040.554735,0.622493978,0.587022936,0.483387779,0.916223123,0.618415661,1.086065219,1.081044499,0.964196004,0.489098680,1.106157650,0.000000000,0.564301564
1714661040.656110,0.623205605,0.586549860,0.483864917,0.915552221,0.618758711,1.086990216,1.082459899,0.963492515,0.490569752,1.103270534,0.000000000,0.564540128
1714661040.754646,0.623905044,0.586139136,0.484301289,0.914922276,0.619081000,1.087881843,1.083853007,0.962744980,0.492041480,1.100284800,0.000000000,0.564781823
1714661040.856874,0.624533551,0.585708815,0.484810765,0.914287138,0.619374449,1.088741290,1.085226109,0.961980240,0.493543894,1.097198987,0.000000000,0.565017710
1714661040.956709,0.625187067,0.585310538,0.485338298,0.913671726,0.619687944,1.089638829,1.086648870,0.961274300,0.495070186,1.094141171,0.000000000,0.565278634
1714661041.054670,0.625853060,0.584984208,0.485849640,0.913071979,0.619976465,1.090537416,1.088112063,0.960522358,0.496704797,1.090821344,0.000000000,0.565562303
1714661041.154751,0.626395319,0.584698863,0.486362555,0.912541771,0.620209011,1.091319639,1.089403125,0.959869651,0.498185951,1.087809182,0.000000000,0.565818912
1714661041.255372,0.626920011,0.584431263,0.486917022,0.911999601,0.620424168,1.092111837,1.090724520,0.959207855,0.499740803,1.084628990,0.000000000,0.566089432
1714661041.354599,0.627403051,0.584194901,0.487489684,0.911473053,0.620616621,1.092874417,1.092008604,0.958570569,0.501289131,1.081438499,0.000000000,0.566362545
1714661041.455833,0.627852333,0.583993309,0.488064990,0.910966057,0.620792494,1.093601068,1.093259789,0.957891461,0.502827459,1.078140570,0.000000000,0.566636877
1714661041.555740,0.628271174,0.583834711,0.488658419,0.910481059,0.620955247,1.094312540,1.094480285,0.957350839,0.504354540,1.075021098,0.000000000,0.566921435
1714661041.655504,0.628660807,0.583723100,0.489249961,0.910039734,0.621103276,1.094985255,1.095626313,0.956771595,0.505822345,1.071856401,0.000000000,0.567211290
1714661041.754634,0.628996163,0.583659328,0.489816243,0.909602201,0.621223365,1.095593106,1.096760503,0.956242877,0.507302852,1.068707116,0.000000000,0.567490578
1714661041.854706,0.629294607,0.583630923,0.490396570,0.909194409,0.621322291,1.096170653,1.097812204,0.955738763,0.508723828,1.065608792,0.000000000,0.567774033
1714661041.954732,0.629533247,0.583611708,0.491028227,0.908793614,0.621399526,1.096718809,1.098822173,0.955255385,0.510132271,1.062496022,0.000000000,0.568057727
1714661042.055795,0.629760125,0.583642773,0.491628232,0.908399534,0.621463111,1.097233269,1.099792559,0.954730988,0.511524857,1.059272044,0.000000000,0.568343710
1714661042.154754,0.629992682,0.583728690,0.492241904,0.907995008,0.621520883,1.097756298,1.100777210,0.954314315,0.512971834,1.056058997,0.000000000,0.568654425
1714661042.254634,0.630169304,0.583832284,0.492853148,0.907624652,0.621569863,1.098219385,1.101680471,0.953875670,0.514330422,1.052896930,0.000000000,0.568951579
1714661042.354729,0.630331885,0.583987043,0.493500700,0.907249337,0.621614066,1.098676294,1.102594337,0.953432322,0.515740832,1.049548017,0.000000000,0.569273209
1714661042.454669,0.630436266,0.584160810,0.494153849,0.906908085,0.621641687,1.099076231,1.103422253,0.952972996,0.517064719,1.046249743,0.000000000,0.569583642
1714661042.555597,0.630554561,0.584411092,0.494785026,0.906539148,0.621655031,1.099475926,1.104244873,0.952632113,0.518438533,1.042956816,0.000000000,0.569916893
1714661042.654768,0.630614658,0.584663889,0.495429712,0.906194304,0.621651292,1.099822770,1.104979853,0.952270780,0.519721976,1.039718119,0.000000000,0.570236086
1714661042.754721,0.630647709,0.584945032,0.496079658,0.905850017,0.621640441,1.100142100,1.105674164,0.951922208,0.520987123,1.036461246,0.000000000,0.570557466
1714661042.854651,0.630642034,0.585229168,0.496734636,0.905537822,0.621627579,1.100416637,1.106299190,0.951542550,0.522162351,1.033260439,0.000000000,0.570868613
1714661042.954914,0.630659341,0.585589219,0.497351149,0.905222846,0.621615172,1.100688149,1.106896470,0.951270199,0.523343321,1.030138112,0.000000000,0.571199903
1714661043.054692,0.630624996,0.585948404,0.498003744,0.904896812,0.621603001,1.100918133,1.107491571,0.950969283,0.524521666,1.026919271,0.000000000,0.571525714
1714661043.154682,0.630587943,0.586376169,0.498659659,0.904573407,0.621583887,1.101133099,1.108047864,0.950610873,0.525702466,1.023482543,0.000000000,0.571874590
1714661043.254597,0.630528099,0.586837012,0.499324562,0.904248170,0.621556698,1.101326763,1.108559194,0.950327969,0.526862300,1.020123520,0.000000000,0.572229891
1714661043.354709,0.630442618,0.587325004,0.500001521,0.903917550,0.621518388,1.101496665,1.109025284,0.950060732,0.527998336,1.016745453,0.000000000,0.572589714
1714661043.456430,0.630337222,0.587872312,0.500682403,0.903583647,0.621478297,1.101641650,1.109451239,0.949846625,0.529135192,1.013348062,0.000000000,0.572963979
1714661043.557425,0.630217944,0.588415725,0.501366066,0.903249313,0.621439639,1.101762685,1.109843280,0.949594086,0.530225095,1.009930397,0.000000000,0.573333245
1714661043.655536,0.630098871,0.588994731,0.502043835,0.902881366,0.621405918,1.101867227,1.110223822,0.949347822,0.531331870,1.006408275,0.000000000,0.573712479
1714661043.754642,0.629952414,0.589576073,0.502717535,0.902586584,0.621381234,1.101938483,1.110536345,0.949122358,0.532322496,1.003127731,0.000000000,0.574082008
1714661043.855419,0.629803121,0.590265682,0.503400149,0.902215842,0.621359696,1.101992010,1.110852316,0.948887768,0.533399706,0.999459892,0.000000000,0.574489651
